aspect,pro,anti,total,diff,abs_diff,pro_share,anti_share
racist,0,9597,9597,-9597,9597,0.0,1.0
white supremacist,0,4642,4642,-4642,4642,0.0,1.0
trump,360,4594,4954,-4234,4234,0.07266855066612839,0.9273314493338716
maga,49,3752,3801,-3703,3703,0.01289134438305709,0.9871086556169429
crime,0,3191,3191,-3191,3191,0.0,1.0
violence,0,3122,3122,-3122,3122,0.0,1.0
white supremacists,0,2372,2372,-2372,2372,0.0,1.0
biden,0,2322,2322,-2322,2322,0.0,1.0
blm,0,2192,2192,-2192,2192,0.0,1.0
republicans,44,2170,2214,-2126,2126,0.01987353206865402,0.980126467931346
democrats,77,2084,2161,-2007,2007,0.03563165201295696,0.9643683479870431
gop,0,1854,1854,-1854,1854,0.0,1.0
murder,0,1708,1708,-1708,1708,0.0,1.0
christian,744,2249,2993,-1505,1505,0.24858002004677582,0.7514199799532242
killing,0,1505,1505,-1505,1505,0.0,1.0
antifa,199,1331,1530,-1132,1132,0.1300653594771242,0.8699346405228758
democrat,24,993,1017,-969,969,0.02359882005899705,0.976401179941003
republican,32,992,1024,-960,960,0.03125,0.96875
black people,923,0,923,923,923,1.0,0.0
desantis,0,837,837,-837,837,0.0,1.0
white house,0,826,826,-826,826,0.0,1.0
shooter,0,789,789,-789,789,0.0,1.0
democracy,759,0,759,759,759,1.0,0.0
house,762,22,784,740,740,0.9719387755102041,0.02806122448979592
insurrection,0,704,704,-704,704,0.0,1.0
kkk,0,703,703,-703,703,0.0,1.0
justice,686,0,686,686,686,1.0,0.0
joe biden,0,619,619,-619,619,0.0,1.0
racists,0,616,616,-616,616,0.0,1.0
crimes,0,594,594,-594,594,0.0,1.0
book,585,0,585,585,585,1.0,0.0
terrorists,0,581,581,-581,581,0.0,1.0
black americans,816,246,1062,570,570,0.768361581920904,0.23163841807909605
jordan neely,570,0,570,570,570,1.0,0.0
joe,0,524,524,-524,524,0.0,1.0
children,468,0,468,468,468,1.0,0.0
death,0,464,464,-464,464,0.0,1.0
criminals,0,443,443,-443,443,0.0,1.0
books,440,0,440,440,440,1.0,0.0
discrimination,0,429,429,-429,429,0.0,1.0
mob,0,422,422,-422,422,0.0,1.0
gun violence,0,403,403,-403,403,0.0,1.0
americans,390,0,390,390,390,1.0,0.0
systemic racism,0,383,383,-383,383,0.0,1.0
maga republicans,0,360,360,-360,360,0.0,1.0
christians,21,375,396,-354,354,0.05303030303030303,0.946969696969697
donald trump,0,349,349,-349,349,0.0,1.0
white people,373,26,399,347,347,0.9348370927318296,0.06516290726817042
george floyd,338,0,338,338,338,1.0,0.0
misogyny,0,334,334,-334,334,0.0,1.0
murders,0,306,306,-306,306,0.0,1.0
american,305,0,305,305,305,1.0,0.0
family,294,0,294,294,294,1.0,0.0
whites,289,0,289,289,289,1.0,0.0
segregation,0,287,287,-287,287,0.0,1.0
kids,286,0,286,286,286,1.0,0.0
shooting,0,279,279,-279,279,0.0,1.0
terrorism,0,264,264,-264,264,0.0,1.0
economy,250,0,250,250,250,1.0,0.0
blacks,248,0,248,248,248,1.0,0.0
killer,0,246,246,-246,246,0.0,1.0
voters,244,0,244,244,244,1.0,0.0
woke,0,240,240,-240,240,0.0,1.0
riots,0,235,235,-235,235,0.0,1.0
bill,0,224,224,-224,224,0.0,1.0
jane fonda,0,222,222,-222,222,0.0,1.0
school,88,293,381,-205,205,0.23097112860892388,0.7690288713910761
white men,216,19,235,197,197,0.9191489361702128,0.08085106382978724
ron desantis,0,197,197,-197,197,0.0,1.0
climate crisis,0,191,191,-191,191,0.0,1.0
genocide,0,189,189,-189,189,0.0,1.0
obama,0,186,186,-186,186,0.0,1.0
2020 riots,0,185,185,-185,185,0.0,1.0
propaganda,0,180,180,-180,180,0.0,1.0
manufactured crisis,0,179,179,-179,179,0.0,1.0
daniel penny,0,173,173,-173,173,0.0,1.0
christianity,0,173,173,-173,173,0.0,1.0
maga gop,0,172,172,-172,172,0.0,1.0
domestic terrorists,0,168,168,-168,168,0.0,1.0
republican party,0,167,167,-167,167,0.0,1.0
corruption,0,164,164,-164,164,0.0,1.0
democrat party,0,161,161,-161,161,0.0,1.0
white nationalists,0,161,161,-161,161,0.0,1.0
veterans,159,0,159,159,159,1.0,0.0
mass shootings,0,157,157,-157,157,0.0,1.0
child,155,0,155,155,155,1.0,0.0
extremists,0,152,152,-152,152,0.0,1.0
black man,146,0,146,146,146,1.0,0.0
hate crime,0,145,145,-145,145,0.0,1.0
kevin mccarthy,0,143,143,-143,143,0.0,1.0
terror,0,141,141,-141,141,0.0,1.0
donald,0,141,141,-141,141,0.0,1.0
lynching,0,139,139,-139,139,0.0,1.0
police brutality,0,137,137,-137,137,0.0,1.0
j6,0,134,134,-134,134,0.0,1.0
tucker carlson,0,134,134,-134,134,0.0,1.0
fascists,0,133,133,-133,133,0.0,1.0
fascism,0,125,125,-125,125,0.0,1.0
chokehold,0,124,124,-124,124,0.0,1.0
vote,0,123,123,-123,123,0.0,1.0
conservatives,0,122,122,-122,122,0.0,1.0
protests,49,167,216,-118,118,0.22685185185185186,0.7731481481481481
murderer,0,116,116,-116,116,0.0,1.0
social security,108,0,108,108,108,1.0,0.0
law enforcement,0,107,107,-107,107,0.0,1.0
black community,106,0,106,106,106,1.0,0.0
governor,0,105,105,-105,105,0.0,1.0
african americans,0,99,99,-99,99,0.0,1.0
black vote,0,95,95,-95,95,0.0,1.0
